horizon,family,role,shortlist_count,mean_shortlist_penalty,route_path_share,route_mediator_share,pair_count,mean_supporting_path_count,mean_mediator_count,mean_recent_share,mean_fwci
5,urbanization,source_family,4,36.75,0.5,0.5,9,6184.56395112853,12.444444444444445,0.4799035369774919,13.184062099753696
5,volatility,source_family,1,128.0,1.0,0.0,19,453.7100643371904,17.63157894736842,0.1764705882352941,6.464738128654971
5,willingness to pay,source_family,5,38.6,0.8,0.2,51,835.4385679461064,10.411764705882353,0.1524366471734893,6.148512204447914
5,carbon emissions,target_family,15,72.33333333333333,0.5333333333333333,0.4666666666666667,101,463.7331144582803,11.009900990099009,0.46785895056521,13.593994067634007
5,corporate esg performance,target_family,1,83.0,1.0,0.0,1,100.83136220515456,9.0,0.9428571428571428,15.600137575757577
5,digital economy,target_family,3,42.333333333333336,1.0,0.0,7,189.76608854179946,7.142857142857143,0.9508599508599508,13.397565935747068
5,digital transformation,target_family,1,71.0,1.0,0.0,3,405.0040759834155,10.666666666666666,0.9539170506912442,12.937334985700668
5,ecological footprint,target_family,2,83.0,1.0,0.0,10,7962.140163070498,28.6,0.7392739273927392,17.24515533769063
5,economic growth,target_family,1,48.0,0.0,1.0,52,1028.7402798019389,12.442307692307692,0.38717478371593184,12.487094360936691
5,energy consumption,target_family,2,86.0,0.5,0.5,14,7913.812075247115,15.142857142857142,0.36018957345971564,14.81321299646496
5,energy efficiency,target_family,1,134.0,1.0,0.0,7,300.97506272741794,19.714285714285715,0.5096030729833547,11.36307842138765
5,energy intensity,target_family,2,68.5,1.0,0.0,4,329.4264251928347,9.75,0.3811023622047244,11.430201600387974
5,environmental pollution,target_family,3,93.66666666666667,0.6666666666666666,0.3333333333333333,5,244.08785872491325,12.0,0.3320987654320987,9.77654610455312
5,environmental quality,target_family,2,45.0,0.5,0.5,29,625.5232726809593,13.068965517241379,0.3461368653421633,8.918731331229367
5,environmental regulation,target_family,1,74.0,1.0,0.0,11,321.11267311920824,12.181818181818182,0.6069364161849711,10.6354989018396
5,environmental sustainability,target_family,1,114.0,1.0,0.0,8,1226.457055697861,20.5,0.5832531280076997,9.734538152309613
5,exports,target_family,4,25.5,1.0,0.0,9,346.9772049333243,13.88888888888889,0.2397841171935235,7.547844051826804
5,financial development,target_family,5,36.0,0.8,0.2,13,6503.66189593827,15.538461538461538,0.5181494661921708,14.939738176234348
5,financing constraints,target_family,1,30.0,1.0,0.0,1,218.24128930261384,13.0,0.8142414860681114,10.26638928950159
5,foreign direct investments,target_family,3,24.666666666666668,0.6666666666666666,0.3333333333333333,8,738.9348773611514,15.5,0.4433106575963719,10.20756895131086
5,green innovation,target_family,5,51.6,1.0,0.0,10,243.2746693554418,12.8,0.8314255983350677,12.285981441717793
5,house prices,target_family,1,10.0,1.0,0.0,15,341.7851466100067,9.066666666666666,0.2174320524835988,7.206488380194077
5,housing prices,target_family,1,26.0,1.0,0.0,5,385.56467262074545,9.6,0.22405660377358488,6.8675171045276695
5,imports,target_family,1,121.0,0.0,1.0,13,334.0748654646173,11.692307692307692,0.22504378283712784,7.190138750358269
5,income distribution,target_family,1,50.0,1.0,0.0,38,306.30510729926203,12.921052631578947,0.1481627815092848,6.736652483803819
5,income inequality,target_family,1,54.0,1.0,0.0,9,392.8814075751151,12.11111111111111,0.2839756592292089,7.312306744610355
5,income tax rate,target_family,1,62.0,1.0,0.0,33,314.67347119961875,11.848484848484848,0.1418376449598572,5.183110954028814
5,industrial structure,target_family,2,17.5,1.0,0.0,7,153.49648189896067,11.142857142857142,0.5937007874015748,10.202391661237783
5,industrial structure upgrading,target_family,2,34.5,1.0,0.0,2,445.416939880389,11.5,0.8589341692789969,10.759244979079496
5,inflation,target_family,2,77.5,1.0,0.0,57,261.46170787934284,13.368421052631579,0.1841522797698096,6.77840774782135
5,innovation outcomes,target_family,2,10.0,0.5,0.5,11,226.6486179887067,8.909090909090908,0.3695823483057525,7.599120662611147
5,output growth,target_family,1,59.0,0.0,1.0,15,363.03755705343485,13.333333333333334,0.1520467836257309,8.66377541484716
5,price changes,target_family,2,88.5,1.0,0.0,53,309.45051967303425,9.11320754716981,0.1126760563380281,5.773551927019525
5,rate of growth,target_family,4,48.75,0.75,0.25,31,183.60126131887154,11.64516129032258,0.1140776699029126,6.991559361112286
5,regional heterogeneity,target_family,1,25.0,1.0,0.0,1,137.17987422739017,5.0,0.4736842105263157,8.17454661893397
5,renewable energy,target_family,2,77.5,0.0,1.0,12,5390.844676182029,7.0,0.6021611001964636,12.863754894784996
5,renewable energy consumption,target_family,1,42.0,0.0,1.0,8,8819.987862106838,16.25,0.634906500445236,18.10315721178263
5,state of the business cycle,target_family,5,36.6,0.8,0.2,117,319.53228861344405,15.128205128205128,0.1761155815654718,6.423015470552291
